Month;FRA District;FRA Safety Management Team;Holding Company;Parent Railroad;Railroad;Railroad Class;Year;Calendar Year;Fiscal Year;Railroad Concat;Railroadcode;Railroadname;Reporting Parent Railroad Code;Reporting Parent Railroad Name;reporting_railroad_class;Employee Hours Worked;Number of Passengers Transported;Passenger Miles;Reports;Total Train Miles;Yard Switching Miles
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Downeast Scenic Railroad [DESR];Downeast Scenic Railroad [DESR];Class III;2025;2025;2025;Downeast Scenic Railroad [DESR];DESR;Downeast Scenic Railroad;DESR;Downeast Scenic Railroad;Class III;;;0;1;;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];Class III;2025;2025;2025;BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];BCRY;BERKSHIRE SCENIC RAILWAY MUSEUM, INC.;BCRY;BERKSHIRE SCENIC RAILWAY MUSEUM, INC.;Class III;;;0;1;;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Scenic RailRiders, Inc. [SRRI];Scenic RailRiders, Inc. [SRRI];Class III;2025;2025;2025;Scenic RailRiders, Inc. [SRRI];SRRI;Scenic RailRiders, Inc.;SRRI;Scenic RailRiders, Inc.;Class III;;;0;1;;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Massachusetts Bay Transportation Authority [MBTA];Massachusetts Bay Transportation Authority [MBTA];Class III;2025;2025;2025;Massachusetts Bay Transportation Authority [MBTA];MBTA;Massachusetts Bay Transportation Authority;MBTA;Massachusetts Bay Transportation Authority;Class III;433 798;2 396 675;81672359;1;407 170;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Conway Scenic Railroad [CONW];Conway Scenic Railroad [CONW];Class III;2025;2025;2025;Conway Scenic Railroad [CONW];CONW;Conway Scenic Railroad;CONW;Conway Scenic Railroad;Class III;5 792;4 504;65239;1;1 333;75
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Southern New Jersey Light Rail Group [SNJX];Southern New Jersey Light Rail Group [SNJX];Class III;2025;2025;2025;Southern New Jersey Light Rail Group [SNJX];SNJX;Southern New Jersey Light Rail Group;SNJX;Southern New Jersey Light Rail Group;Class III;16 678;107 297;1745081;1;76 463;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;New Jersey Transit Rail Operations [NJTR];New Jersey Transit Rail Operations [NJTR];Class III;2025;2025;2025;New Jersey Transit Rail Operations [NJTR];NJTR;New Jersey Transit Rail Operations;NJTR;New Jersey Transit Rail Operations;Class III;823 062;4 675 054;185923372;1;913 870;29 952
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Port Authority Trans Hudson [PATH];Port Authority Trans Hudson [PATH];Class III;2025;2025;2025;Port Authority Trans Hudson [PATH];PATH;Port Authority Trans Hudson;PATH;Port Authority Trans Hudson;Class III;213 886;4 929 948;23973710;1;141 466;18 452
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Richfield Springs Scenic Railway [UCSV];Richfield Springs Scenic Railway [UCSV];Class III;2025;2025;2025;Richfield Springs Scenic Railway [UCSV];UCSV;Richfield Springs Scenic Railway;UCSV;Richfield Springs Scenic Railway;Class III;;;0;1;;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Metro North Commuter Railroad Company [MNCW];Metro North Commuter Railroad Company [MNCW];Class III;2025;2025;2025;Metro North Commuter Railroad Company [MNCW];MNCW;Metro North Commuter Railroad Company;MNCW;Metro North Commuter Railroad Company;Class III;1 183 275;5 269 402;149748644;1;878 310;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Long Island Rail Road [LI];Long Island Rail Road [LI];Class III;2025;2025;2025;Long Island Rail Road [LI];LI;Long Island Rail Road;LI;Long Island Rail Road;Class III;1 351 676;6 107 202;162465805;1;878 785;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Saratoga Corinth & Hudson Railway [SCH];Saratoga Corinth & Hudson Railway [SCH];Class III;2025;2025;2025;Saratoga Corinth & Hudson Railway [SCH];SCH;Saratoga Corinth & Hudson Railway;SCH;Saratoga Corinth & Hudson Railway;Class III;;;0;1;;
Jan;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Catskill Mountain Railroad [CMRR];Catskill Mountain Railroad [CMRR];Class III;2025;2025;2025;Catskill Mountain Railroad [CMRR];CMRR;Catskill Mountain Railroad;CMRR;Catskill Mountain Railroad;Class III;;;0;1;;
Jan;1;SMT-1 - Amtrak, Commuter East;Vermont Rail Systems;Green Mountain Railroad Corporation [GMRC];Green Mountain Railroad Corporation [GMRC];Class III;2025;2025;2025;Green Mountain Railroad Corporation [GMRC];GMRC;Green Mountain Railroad Corporation;GMRC;Green Mountain Railroad Corporation;Class III;2 647;;0;1;2 364;950
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Downeast Scenic Railroad [DESR];Downeast Scenic Railroad [DESR];Class III;2025;2025;2025;Downeast Scenic Railroad [DESR];DESR;Downeast Scenic Railroad;DESR;Downeast Scenic Railroad;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];Class III;2025;2025;2025;BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];BCRY;BERKSHIRE SCENIC RAILWAY MUSEUM, INC.;BCRY;BERKSHIRE SCENIC RAILWAY MUSEUM, INC.;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Scenic RailRiders, Inc. [SRRI];Scenic RailRiders, Inc. [SRRI];Class III;2025;2025;2025;Scenic RailRiders, Inc. [SRRI];SRRI;Scenic RailRiders, Inc.;SRRI;Scenic RailRiders, Inc.;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Massachusetts Bay Transportation Authority [MBTA];Massachusetts Bay Transportation Authority [MBTA];Class III;2025;2025;2025;Massachusetts Bay Transportation Authority [MBTA];MBTA;Massachusetts Bay Transportation Authority;MBTA;Massachusetts Bay Transportation Authority;Class III;451 917;2 154 972;73500614;1;359 920;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Conway Scenic Railroad [CONW];Conway Scenic Railroad [CONW];Class III;2025;2025;2025;Conway Scenic Railroad [CONW];CONW;Conway Scenic Railroad;CONW;Conway Scenic Railroad;Class III;5 269;5 456;87151;1;1 222;87
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Southern New Jersey Light Rail Group [SNJX];Southern New Jersey Light Rail Group [SNJX];Class III;2025;2025;2025;Southern New Jersey Light Rail Group [SNJX];SNJX;Southern New Jersey Light Rail Group;SNJX;Southern New Jersey Light Rail Group;Class III;14 779;107 297;1636789;1;60 959;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;New Jersey Transit Rail Operations [NJTR];New Jersey Transit Rail Operations [NJTR];Class III;2025;2025;2025;New Jersey Transit Rail Operations [NJTR];NJTR;New Jersey Transit Rail Operations;NJTR;New Jersey Transit Rail Operations;Class III;877 202;4 293 112;164606140;1;813 280;26 496
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Port Authority Trans Hudson [PATH];Port Authority Trans Hudson [PATH];Class III;2025;2025;2025;Port Authority Trans Hudson [PATH];PATH;Port Authority Trans Hudson;PATH;Port Authority Trans Hudson;Class III;202 296;4 258 111;21174559;1;133 607;17 427
