"","Commodity Group","Commodity Group Code","Originated","Received","Year","Week","Company"
"1","Chemicals","A",18604,3908,2026,2026-02-25,"UP"
"2","Coal","B",14850,12,2026,2026-02-25,"UP"
"3","Coke","C",882,62,2026,2026-02-25,"UP"
"4","Crushed Stone, Sand & Gravel","D",7561,106,2026,2026-02-25,"UP"
"5","Farm Products","E",270,96,2026,2026-02-25,"UP"
"6","Food & Kindred Products","F",2472,1688,2026,2026-02-25,"UP"
"7","Grain Mill Products","G",4079,378,2026,2026-02-25,"UP"
"8","Grain","H",7103,1535,2026,2026-02-25,"UP"
"9","Iron & Steel Scrap","I",1183,78,2026,2026-02-25,"UP"
"10","Lumber & Wood Products","J",1191,613,2026,2026-02-25,"UP"
"11","Metallic Ores","K",345,92,2026,2026-02-25,"UP"
"12","Metal Products","L",1297,1435,2026,2026-02-25,"UP"
"13","Motor Vehicles & Equipment","M",2501,5275,2026,2026-02-25,"UP"
"14","Nonmetallic Minerals","N",481,143,2026,2026-02-25,"UP"
"15","Petroleum Products","O",3699,1589,2026,2026-02-25,"UP"
"16","Primary Forest Products","P",316,161,2026,2026-02-25,"UP"
"17","Pulp & Paper Products","Q",900,851,2026,2026-02-25,"UP"
"18","Stone, Clay, Glass","R",2453,591,2026,2026-02-25,"UP"
"19","Waste & Other Scrap","S",478,245,2026,2026-02-25,"UP"
"20","All Other","T",3109,1118,2026,2026-02-25,"UP"
"21","Containers","U",60993,10648,2026,2026-02-25,"UP"
"22","Trailers","V",1639,9,2026,2026-02-25,"UP"
"23","Chemicals","A",18436,3584,2026,2026-02-18,"UP"
"24","Coal","B",16075,7,2026,2026-02-18,"UP"
"25","Coke","C",1017,96,2026,2026-02-18,"UP"
"26","Crushed Stone, Sand & Gravel","D",7645,121,2026,2026-02-18,"UP"
"27","Farm Products","E",275,126,2026,2026-02-18,"UP"
"28","Food & Kindred Products","F",2596,2104,2026,2026-02-18,"UP"
"29","Grain Mill Products","G",3853,335,2026,2026-02-18,"UP"
"30","Grain","H",8570,1645,2026,2026-02-18,"UP"
"31","Iron & Steel Scrap","I",921,130,2026,2026-02-18,"UP"
"32","Lumber & Wood Products","J",1092,583,2026,2026-02-18,"UP"
"33","Metallic Ores","K",227,117,2026,2026-02-18,"UP"
"34","Metal Products","L",1014,1318,2026,2026-02-18,"UP"
